Location_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year,Diameter
200501BS00001,525680,178240,-0.19117,51.489096,1,2,1,1,4/1/2005,3,17:42,12,E09000020,3,3218,Single carriageway,30,,,-1,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002849,2005,2
200501BS00002,524170,181650,-0.211708,51.520075,1,3,1,1,5/1/2005,4,17:36,12,E09000020,4,450,Dual carriageway,30,,Automatic traffic signal,5,0,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002909,2005,6
200501BS00003,524520,182240,-0.206458,51.525301,1,3,2,1,6/1/2005,5,0:15,12,E09000020,5,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002857,2005,4
200501BS00004,526900,177530,-0.173862,51.482442,1,3,1,1,7/1/2005,6,10:35,12,E09000020,3,3220,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002840,2005,1
200501BS00005,528060,179040,-0.156618,51.495752,1,3,1,1,10/1/2005,2,21:13,12,E09000020,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lighting unknown,Fine without high winds,Wet/Damp,None,None,1,Yes,E01002863,2005,0.4
200501BS00006,524770,181160,-0.203238,51.51554,1,3,2,1,11/1/2005,3,12:40,12,E09000020,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,Ol or diesel,None,1,Yes,E01002832,2005,4
200501BS00007,524220,180830,-0.211277,51.512695,1,3,2,1,13/01/2005,5,20:40,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002875,2005,5
200501BS00009,525890,179710,-0.187623,51.50226,1,3,1,2,14/01/2005,6,17:35,12,E09000020,3,315,Dual carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002889,2005,4
200501BS00010,527350,177650,-0.167342,51.48342,1,3,2,2,15/01/2005,7,22:43,12,E09000020,3,3212,Single carriageway,30,,Automatic traffic signal,4,304,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002900,2005,8
200501BS00011,524550,180810,-0.206531,51.512443,1,3,2,5,15/01/2005,7,16:00,12,E09000020,4,450,Single carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,Central refuge,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002875,2005,2
200501BS00012,526240,178900,-0.182872,51.494902,1,3,1,1,16/01/2005,1,0:42,12,E09000020,3,4,Single carriageway,30,,Automatic traffic signal,4,325,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002835,2005,3.3
200501BS00014,526170,177690,-0.184312,51.484044,1,3,2,1,25/01/2005,3,20:48,12,E09000020,3,3220,Single carriageway,30,,Automatic traffic signal,3,308,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01002912,2005,2
